ID,Make,Model,Registration,Location,Colour,Transmission,Seats,Fuel Type,Fuel Economy (mpg),Insurance Group,CO2 (g/km),Milage,Year,Price ,Price on New ,Price per month ,Reserved,URL
1,Chevrolet,"Spark 1,0 LS 5dr",BP63 NXZ,Cannock,White,Manuel,5,Petrol,55,4E,119,17824,2014,4499,9220,94.44,FALSE,https://www.availablecar.com/used-cars/chevrolet-spark-60095
2,Toyota,Aygo 1.0 VVt-I Move 5dr,AF64 HZA,Sutton in Ashfield,Blue,Manuel,4,Petrol,65,3E,99,51658,2014,5099,10565,107.03,FALSE,https://www.availablecar.com/used-cars/toyota-aygo-59053
3,Skoda,Citigo 1.0 60 SE 3dr,YB64 HVT,Sutton in Ashfield,Red,Manuel,4,Petrol,62,1E,105,48599,2014,5099,36005,107.03,FALSE,https://www.availablecar.com/used-cars/skoda-citigo-57541
4,Fiat ,Panda 1.2 Pop 5dr,NA64 YJC,Castle Donington,White,Manuel,4,Petrol,54,4U,120,25250,2014,5499,9040,115.43,FALSE,https://www.availablecar.com/used-cars/fiat-panda-62890
5,Fiat ,500 1.2 Colour Therapy 3dr,MT15 KZY,Leeds,Yellow,Manuel ,4,Petrol,58,7U,113,39838,2015,5999,11165,125.92,FALSE,https://www.availablecar.com/used-cars/fiat-500-62876
6,Mitsubishi,Mirage 1.2 Attivo 5dr,WF16 BSU,Leeds,White,Manuel ,5,Petrol,65,18D,100,44872,2016,5999,10999,125.92,FALSE,https://www.availablecar.com/used-cars/mitsubishi-mirage-60108
7,Citroen ,C1 1.0 Vti Feel 3dr,YK16 YVD,Leeds,White,Manuel ,4,Petrol,68,6E,95,40316,2016,6099,9640,128.02,FALSE,https://www.availablecar.com/used-cars/citroen-c1-55303
8,Vauxhall,Corsa 1.2 85 Sting 3dr,PJ63 HUH,Sutton in Ashfield,Green,Manuel,5,Petrol,51,6E,129,36706,2013,6099,9285,128.02,TRUE,https://www.availablecar.com/used-cars/vauxhall-corsa-53075
9,Ford,Fiesta 1.25 Zetec 3dr,ND14 CSO,Sutton in Ashfield,Grey,Manuel ,5,Petrol,54,7E,120,62452,2014,6199,12840,130.12,FALSE,https://www.availablecar.com/used-cars/ford-fiesta-62320
10,Fiat ,500 1.2 S 3dr 16inAlloys,WM64 VJC,Sutton in Ashfield,Blue,Manuel,4,Petrol,58,9U,113,42844,2014,6199,11815,130.12,FALSE,https://www.availablecar.com/used-cars/fiat-500-50117
11,Suzuki,Swift 1.2 SZ3 3dr,BL14 DVB,Leeds,Grey,Manuel,4,Petrol,56,11E,116,41762,2014,6299,12064,132.22,FALSE,https://www.availablecar.com/used-cars/suzuki-swift-61673
12,Skoda,Fabia 1.2 TDI 75 GreenLine ll 5dr,ND64 XRL,Cannock,Blue,Manuel,5,Diesel,83,9E,88,45547,2015,6299,14220,132.22,TRUE,https://www.availablecar.com/used-cars/skoda-fabia-15140
13,Toyota,Aygo 1.0 VVT-I X 5dr,YE66 EUN,Cannock,Red,Manuel,4,Petrol,68,6E,95,47254,2016,6399,9440,134.32,FALSE,https://www.availablecar.com/used-cars/toyota-aygo-54990
14,Citroen ,C1 1.0 Vti Flair 3dr,DY64 YLA,Cannock,Black,Manuel,4,Petrol,68,7E,95,39368,2014,6399,10130,134.32,TRUE,https://www.availablecar.com/used-cars/citroen-c1-48965
15,Vauxhall,Corsa 1.2 85 Limited Edition 3dr,VO14 UHB,Castle Donington,Orange,Manuel ,5,Petrol,51,7E,129,43946,2014,6399,14595,134.32,FALSE,https://www.availablecar.com/used-cars/vauxhall-corsa-37019
16,Fiat ,500 0.9 TwinAir Colour Therapy 3dr,MK15 OAV,Leeds,Blue,Manuel,4,Petrol,70,10U,92,34247,2015,6399,12365,134.32,FALSE,https://www.availablecar.com/used-cars/fiat-500-26544
