,Make,Model,Registration,Location,Transmission,Seats,Fuel_Type,Fuel_Eco,Insurance_Group,CO2,Milage,Year,Price(£),Price_diff,Price on New(£),Price per month,APR,Reserved,URL
0,CHEVROLET,SPARK LS,BP63NXZ,Cannock,Manual,5,Petrol,55,4E,119,17824,2014,4499,4721.0,9220.0,94.44,9.9,False,https://www.availablecar.com/used-cars/chevrolet-spark-60095
1,Toyota,Aygo 1.0 VVT-i Move,AF64HZA,Sutton in Ashfield,Manual,4,Petrol,65,3E,99,51658,2014,5099,5466.0,10565.0,107.03,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-59053
2,Skoda,Citigo 1.0 60 SE,YB64HVT,Sutton in Ashfield,Manual,4,Petrol,62,1E,105,48599,2014,5099,3906.0,9005.0,107.03,9.9,False,https://www.availablecar.com/used-cars/skoda-citigo-57541
3,Fiat,Panda 1.2 Pop,NA64YJC,Castle Donnington,Manual,4,Petrol,54,4U,120,25250,2014,5499,3541.0,9040.0,115.43,9.9,False,https://www.availablecar.com/used-cars/fiat-panda-62890
4,Fiat,500 1.2 Colour Therapy,MT15KZY,Leeds,Manual,4,Petrol,58,7U,113,39838,2015,5999,5166.0,11165.0,125.92,9.9,False,https://www.availablecar.com/used-cars/fiat-500-62876
5,Citroen,C1 1.0 VTi Feel,YK16YVD,Leeds,Manual,4,Petrol,68,6E,95,40316,2016,6099,3541.0,9640.0,128.02,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-55303
6,Vauxhall,Corsa 1.2 85 Sting,PJ63HUH,Sutton in Ashfield,Manual,5,Petrol,51,6E,129,36706,2013,6099,3186.0,9285.0,128.02,9.9,True,https://www.availablecar.com/used-cars/vauxhall-corsa-53075
7,Ford,Fiesta 1.25 Zetec,ND14CSO,Sutton in Ashfield,Manual,5,Petrol,54,7E,120,62452,2014,6199,6641.0,12840.0,130.12,9.9,False,https://www.availablecar.com/used-cars/ford-fiesta-62320
8,Fiat,500 1.2 S 3dr,WM64VJC,Sutton in Ashfield,Manual,4,Petrol,58,9U,113,42844,2014,6199,5616.0,11815.0,130.12,9.9,True,https://www.availablecar.com/used-cars/fiat-500-50117
9,Suzuki,Swift 1.2 SZ3,BL14DVB,Leeds,Manual,4,Petrol,56,11E,116,41762,2014,6299,5765.0,12064.0,132.22,9.9,False,https://www.availablecar.com/used-cars/suzuki-swift-61673
10,Skoda,Fabia 1.2 TDI 75 GreenLine II,ND64XRL,Cannock,Manual,5,Diesel,83,9E,88,45547,2015,6299,7921.0,14220.0,132.22,9.9,True,https://www.availablecar.com/used-cars/skoda-fabia-15140
11,Toyota,Aygo 1.0 VVT-i X,YE66EUN,Cannock,Manual,4,Petrol,68,6E,95,47254,2016,6399,3041.0,9440.0,134.32,9.9,False,https://www.availablecar.com/used-cars/toyota-aygo-54990
12,Citroen,C1 1.0 VTi Flair,DY64YLA,Cannock,Manual,4,Petrol,68,7E,95,39368,2014,6399,3731.0,10130.0,134.32,9.9,True,https://www.availablecar.com/used-cars/citroen-c1-48965
13,Vauxhall,Corsa 1.2 85 Limited Edition,VO14UHB,Castle Donnington,Manual,5,Petrol,51,7E,129,43946,2014,6399,8196.0,14595.0,134.32,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-37019
14,Fiat,500 0.9 TwinAir Colour Therapy,MK15OAV,Leeds,Manual,4,Petrol,70,10U,92,34247,2015,6399,5966.0,12365.0,134.32,9.9,False,https://www.availablecar.com/used-cars/fiat-500-26544
15,Toyota,Auris Touring 1.4 D4-D Active,BN15EJL,Cannock,Manual,5,Diesel,67,11E,109,65703,2015,6499,10841.0,17340.0,136.42,9.9,True,https://www.availablecar.com/used-cars/toyota-auris-59296
16,Volkswagen,Up 1.0 60 Take Up,VE64YWS,Castle Donnington,Manual,4,Petrol,62,1E,105,15239,2014,6499,2081.0,8580.0,136.42,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-46651
17,Vauxhall,Corsa 1.2 70 Sting,CE15WYX,Sutton in Ashfield,Manual,5,Petrol,53,2E,124,42746,2015,6599,2341.0,8940.0,138.52,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-63676
18,Vauxhall,Corsa 1.2 70 Sting,NG15KOA,Leeds,Manual,5,Petrol,53,2E,124,31715,2015,6599,2341.0,8940.0,138.52,9.9,False,https://www.availablecar.com/used-cars/vauxhall-corsa-55786
19,Fiat,500 1.2 Pop,CE16XZH,Castle Donnington,Manual,4,Petrol,60,7U,110,41046,2016,6599,4236.0,10835.0,138.52,9.9,False,https://www.availablecar.com/used-cars/fiat-500-55755
20,Fiat,Panda 1.2 Pop,SE16ERY,Cannock,Manual,4,Petrol,54,3U,119,15474,2016,6599,2721.0,9320.0,138.52,9.9,False,https://www.availablecar.com/used-cars/fiat-panda-54896
21,Renault,Twingo 1.0 SCE Play,SD15XPM,Castle Donnington,Manual,4,Petrol,62,3E,105,15385,2015,6699,3241.0,9940.0,140.62,9.9,True,https://www.availablecar.com/used-cars/renault-twingo-36181
22,Citroen,C3 1.0 Puretech 68 VTR+,PE65HZF,Cannock,Manual,5,Petrol,62,9E,104,29979,2015,6799,5641.0,12440.0,142.72,9.9,False,https://www.availablecar.com/used-cars/citroen-c3-63650
23,Peugeot,108 1.0 Active,BV65OZH,Cannock,Manual,4,Petrol,68,6E,95,34916,2015,6799,3141.0,9940.0,142.72,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-58389
24,Fiat,500 1.2 Colour Therapy,EU15WGF,Leeds,Manual,4,Petrol,58,7U,111,22371,2015,6799,4366.0,11165.0,142.72,9.9,True,https://www.availablecar.com/used-cars/fiat-500-39263
25,Seat,Mii 1.0 by Mango,CV16CGF,Leeds,Manual,4,Petrol,61,4E,106,38545,2016,6899,4311.0,11210.0,144.82,9.9,False,https://www.availablecar.com/used-cars/seat-mii-8723
26,Renault,Twingo 1.0 SCE Iconic,LX16HFT,Cannock,Manual,4,Petrol,67,3E,95,28093,2016,6899,4891.0,11790.0,144.82,9.9,False,https://www.availablecar.com/used-cars/renault-twingo-58940
27,Peugeot,108 1.0 Active,GJ66PBU,Leeds,Manual,4,Petrol,68,6E,95,22566,2016,6899,3131.0,10030.0,144.82,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-57252
28,Volkswagen,Up 1.0 60 Move Up 5dr Winter Pack Sensors,GM14WRE,Cannock,Manual,4,Petrol,68,1E,95,26981,2014,6899,2881.0,9780.0,144.82,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-53914
29,Citroen,C1 1.0 VTi Feel,PN65LDY,Castle Donnington,Manual,4,Petrol,68,6E,95,27031,2015,6899,3041.0,9940.0,144.82,9.9,False,https://www.availablecar.com/used-cars/citroen-c1-52894
30,Fiat,500 0.9 TwinAir Lounge,LR15OXK,Leeds,Manual,4,Petrol,67,15U,99,25998,2015,6899,6746.0,13645.0,144.82,9.9,False,https://www.availablecar.com/used-cars/fiat-500-28979
31,Seat,Mii 1.0 75 Mii by Mango,GX16WNU,Sutton in Ashfield,Manual,4,Petrol,61,4E,106,60179,2016,6999,4566.0,11565.0,146.91,9.9,False,https://www.availablecar.com/used-cars/seat-mii-63213
32,Volkswagen,Up 1.0 Rock Up,EY14YRA,Castle Donnington,Manual,4,Petrol,,4E,108,45003,2014,6999,6026.0,13025.0,146.91,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-63021
33,Peugeot,108 1.0 Active,YK66AWE,Cannock,Manual,4,Petrol,68,6E,95,19468,2017,6999,3251.0,10250.0,146.91,9.9,False,https://www.availablecar.com/used-cars/peugeot-108-61324
34,Peugeot,208 1.2 VTi Allure,LY64GUJ,Castle Donnington,Manual,5,Petrol,62,8E,104,27428,2014,6999,7441.0,14440.0,146.91,9.9,True,https://www.availablecar.com/used-cars/peugeot-208-61298
35,Skoda,Fabia 1.2 70 SE,YH13SPU,Leeds,Manual,5,Petrol,53,5E,128,4739,2013,6999,4416.0,11415.0,146.91,9.9,True,https://www.availablecar.com/used-cars/skoda-fabia-61035
36,Fiat,500 1.2 S,SD15VVY,Leeds,Manual,4,Petrol,60,9U,111,25569,2015,7099,4816.0,11915.0,149.01,9.9,False,https://www.availablecar.com/used-cars/fiat-500-54939
37,Fiat,500 0.9 TwinAir Lounge,BF65AXA,Cannock,Manual,4,Petrol,67,15U,99,29673,2015,7099,7066.0,14165.0,149.01,9.9,False,https://www.availablecar.com/used-cars/fiat-500-53574
38,Citroen,C3 Picasso 1.6 HDi 90 Selection,CV64JYD,Cannock,Manual,5,Diesel,68,32A,107,47520,2014,7099,9626.0,16725.0,149.01,9.9,False,https://www.availablecar.com/used-cars/citroen-c3-picasso-51460
39,Vauxhall,Adam 1.4 90 Jam 3dr Urban Pack 16in,MA64XEV,Leeds,Manual,4,Petrol,53,6E,125,39697,2014,7099,4626.0,11725.0,149.01,9.9,False,https://www.availablecar.com/used-cars/vauxhall-adam-30031
40,Volkswagen,Up 1.0 60 Move Up 5dr,WG65MXA,Cannock,Manual,4,Petrol,68,1E,95,31760,2015,7099,3211.0,10310.0,149.01,9.9,False,https://www.availablecar.com/used-cars/volkswagen-up-2928
